id,carat,cut,color,clarity,depth,table,x,y,z,price
15188,0.71,Very Good,J,VS2,60.8,56.0,5.77,5.73,3.5,2138
11295,0.51,Very Good,H,SI1,61.1,56.0,5.15,5.12,3.14,1197
19773,0.39,Very Good,G,VS1,62.4,58.0,4.64,4.67,2.9,899
13072,0.28,Very Good,J,VS1,62.1,57.0,4.2,4.24,2.62,394
19922,0.72,Very Good,H,SI1,63.1,58.0,5.67,5.71,3.59,2106
6649,0.23,Very Good,E,VVS2,61.1,61.0,4.01,4.0,2.43,458
11581,0.4,Ideal,E,SI1,61.8,57.0,4.72,4.76,2.93,777
8076,0.33,Premium,F,VS2,62.5,58.0,4.45,4.41,2.77,828
10911,0.23,Ideal,F,VS2,62.0,55.0,3.92,3.94,2.44,396
2788,0.9,Very Good,E,SI1,61.8,56.0,6.14,6.18,3.81,4034
4901,0.58,Ideal,G,VVS1,60.8,56.0,5.41,5.43,3.29,2573
1180,0.73,Fair,D,SI1,63.8,58.0,5.66,5.77,3.62,2907
9262,0.43,Ideal,G,VVS1,62.0,57.0,4.84,4.81,2.99,1164
16777,0.4,Ideal,F,VS2,61.6,56.0,4.73,4.76,2.92,1163
6497,0.52,Very Good,G,SI1,62.3,58.0,5.12,5.16,3.2,1098
6887,0.34,Ideal,D,VVS2,60.2,57.0,4.51,4.54,2.73,1026
5422,0.91,Very Good,H,SI2,60.2,61.0,6.31,6.33,3.8,3299
3493,1.09,Very Good,F,VS1,60.6,59.0,6.59,6.71,4.02,8081
12463,0.38,Premium,D,VS1,61.6,58.0,4.67,4.7,2.88,921
1459,0.3,Ideal,G,VS2,62.3,53.0,4.27,4.31,2.68,545
6455,0.8,Premium,H,VS2,60.0,58.0,6.05,6.01,3.61,2850
7247,0.55,Ideal,D,SI1,61.5,56.0,5.25,5.28,3.24,1578
5358,0.54,Ideal,F,VS1,62.0,56.0,5.22,5.24,3.24,2091
15421,1.51,Very Good,I,VVS2,60.3,59.0,7.38,7.45,4.49,10033
17682,1.19,Ideal,D,VS1,61.8,57.0,6.82,6.78,4.2,10079
6700,0.32,Very Good,D,SI2,60.9,55.0,4.41,4.43,2.68,568
11152,0.34,Ideal,F,SI1,60.8,57.0,4.51,4.53,2.74,556
12844,0.31,Ideal,G,SI2,61.9,56.0,4.34,4.38,2.7,408
12631,1.0,Premium,H,VS2,59.4,59.0,6.51,6.45,3.86,5557
1586,0.4,Premium,G,VVS2,61.9,59.0,4.68,4.74,2.92,1050
1395,0.31,Ideal,E,VVS2,61.6,56.0,4.41,4.43,2.72,789
18801,1.12,Ideal,H,VS2,62.2,56.0,6.63,6.66,4.13,6709
9868,1.04,Ideal,I,SI1,60.9,56.0,6.57,6.61,4.01,4829
3889,1.01,Premium,I,SI2,61.6,61.0,6.37,6.41,3.94,3462
19075,1.52,Ideal,H,VS2,61.2,57.0,7.39,7.49,4.56,11045
18796,0.25,Very Good,H,VVS2,63.2,56.0,4.0,4.03,2.54,432
13783,0.3,Premium,E,VS2,61.3,60.0,4.25,4.23,2.59,844
5620,0.23,Very Good,E,VVS2,60.5,62.0,3.92,3.95,2.37,530
14907,0.32,Ideal,D,SI1,61.4,56.0,4.38,4.41,2.7,651
4851,1.51,Very Good,G,VS1,62.8,58.0,7.25,7.3,4.57,14234
11499,0.53,Ideal,D,VS2,60.4,57.0,5.28,5.26,3.19,1956
19343,1.27,Premium,G,SI2,61.7,58.0,6.96,6.9,4.28,6116
15564,0.4,Premium,E,SI1,62.8,58.0,4.75,4.72,2.97,882
14670,1.01,Very Good,E,SI1,60.5,60.0,6.48,6.55,3.94,4912
18243,0.45,Ideal,G,VVS1,61.8,55.0,4.92,4.95,3.05,1179
4849,1.21,Ideal,G,SI2,62.8,57.0,6.79,6.75,4.24,5491
3299,0.33,Ideal,H,VS1,60.9,55.0,4.49,4.52,2.74,589
11307,0.42,Ideal,E,VS2,62.4,56.0,4.78,4.81,2.99,912
15980,0.9,Ideal,D,SI1,62.8,57.0,6.11,6.14,3.85,4435
7330,0.26,Ideal,D,VVS1,61.8,56.0,4.15,4.12,2.56,769
9102,0.71,Very Good,D,VS1,62.9,59.0,5.68,5.71,3.58,3500
12530,1.01,Premium,F,SI2,61.0,60.0,6.46,6.41,3.92,4239
13833,0.7,Ideal,G,SI2,61.3,56.0,5.76,5.74,3.52,2029
3032,1.14,Ideal,D,SI2,62.3,56.0,6.73,6.68,4.17,5376
3903,0.95,Premium,H,VS2,62.7,57.0,6.24,6.2,3.9,4247
2094,0.42,Ideal,G,SI1,61.4,57.0,4.83,4.79,2.95,945
4469,1.51,Very Good,I,SI2,60.1,56.0,7.34,7.38,4.44,6319
2182,0.35,Ideal,G,VS1,61.8,55.0,4.53,4.56,2.81,706
15968,0.44,Ideal,H,VS1,61.9,56.0,4.88,4.91,3.03,1218
4459,0.7,Very Good,G,VS1,62.6,56.0,5.69,5.67,3.55,2759
18752,1.21,Very Good,H,VS2,63.0,59.0,6.71,6.75,4.24,5254
7733,0.37,Premium,E,VS2,62.4,58.0,4.63,4.6,2.88,1041
15456,1.01,Fair,H,VS1,64.4,57.0,6.28,6.34,4.07,5028
1829,0.54,Ideal,G,VS2,62.4,54.0,5.21,5.18,3.24,1660
9061,0.51,Premium,F,SI1,61.8,58.0,5.16,5.11,3.17,1151
18961,1.16,Ideal,I,VS1,62.3,57.0,6.76,6.72,4.2,5515
4785,0.41,Ideal,D,VS2,62.6,55.0,4.78,4.76,2.99,1107
18550,1.11,Ideal,D,SI1,61.9,56.0,6.68,6.64,4.12,6857
6066,0.71,Ideal,E,VS2,60.7,55.0,5.83,5.87,3.54,2852
7946,0.36,Very Good,G,VS2,61.4,59.0,4.55,4.58,2.79,689
2245,0.41,Ideal,E,VS1,60.9,57.0,4.78,4.84,2.92,1157
1484,1.03,Premium,F,SI1,62.0,59.0,6.48,6.44,4.0,5433
4545,1.04,Good,J,SI2,64.1,58.0,6.32,6.37,4.08,4008
17483,1.14,Ideal,J,SI1,61.9,56.0,6.75,6.7,4.16,4435
18646,1.0,Very Good,D,SI1,62.0,58.0,6.34,6.39,3.94,4955
3647,0.85,Ideal,E,SI2,61.0,57.0,6.11,6.06,3.7,3797
4929,0.33,Premium,E,SI1,61.4,59.0,4.45,4.49,2.75,743
